LFO,YEAR,PAYQTR1,EMP,ESTAB,PAYANN,EMPSZES,state
001,2019,9412070,958126,59130,37730520,001,28
001,2019,477825,54388,29543,2182758,210,28
001,2019,684274,83044,12574,2802414,220,28
001,2019,933260,109881,8205,3830005,230,28
001,2019,1449001,173230,5724,5895043,241,28
001,2019,1096224,121069,1776,4405956,242,28
001,2019,1357305,129051,875,5335549,251,28
001,2019,997385,91544,274,3797952,252,28
001,2019,783294,72073,102,3043152,254,28
001,2019,1633502,123846,57,6437691,260,28
9101,2019,4633153,410307,16172,18182409,001,28
9101,2019,143697,11278,5551,620971,210,28
9101,2019,264291,28220,4234,1049166,220,28
9101,2019,387573,38559,2908,1556004,230,28
9101,2019,662342,63871,2102,2637724,241,28
9101,2019,520026,47365,688,2041280,242,28
9101,2019,743067,64162,427,2883696,251,28
9101,2019,636272,56959,170,2431313,252,28
9101,2019,574766,46823,66,2217086,254,28
9101,2019,701119,53070,26,2745169,260,28
9111,2019,1972595,239704,21272,8273888,001,28
9111,2019,181297,19947,11315,863280,210,28
9111,2019,246310,29404,4431,1043253,220,28
9111,2019,322440,39439,2941,1363420,230,28
9111,2019,409682,54396,1832,1737577,241,28
9111,2019,281137,34533,511,1159913,242,28
9111,2019,253006,26857,187,1037195,251,28
9111,2019,89247,11054,33,359233,252,28
9111,2019,56203,9826,14,212286,254,28
9111,2019,133273,14248,8,497731,260,28
920,2019,288018,41233,7205,1197782,001,28
920,2019,49818,8859,5278,229902,210,28
920,2019,41338,7321,1150,169434,220,28
920,2019,36575,6059,453,149219,230,28
920,2019,47498,7233,237,192095,241,28
920,2019,30265,3887,58,118398,242,28
920,2019,44665,3051,21,184010,251,28
920,2019,12470,1522,5,52066,252,28
930,2019,967473,127888,8135,3909439,001,28
930,2019,60239,7319,3959,287176,210,28
930,2019,77356,9706,1460,318677,220,28
930,2019,115516,16329,1194,479788,230,28
930,2019,208062,30929,1005,842062,241,28
930,2019,155900,23071,338,642225,242,28
930,2019,159017,19549,135,614014,251,28
930,2019,110070,11776,36,402835,252,28
930,2019,38821,4641,6,145865,254,28
