YEAR,state,county,MOVEDNET,FROMABROAD,POP1YR,TODIFFSTATE,FROMDIFFSTATE,POP1YRAGO
2010,1,1,101.0,125,52568,1412,1575,52470
2010,1,3,5122.0,614,173522,5250,9285,168220
2010,1,5,480.0,7,27230,601,707,26768
2010,1,7,-927.0,36,22449,123,222,23395
2010,1,9,10.0,359,56071,644,715,55700
2010,1,11,111.0,0,10792,42,88,10679
2010,1,13,-641.0,45,20565,214,202,21145
2010,1,15,773.0,318,115624,2223,3269,114901
2010,1,17,-255.0,21,34281,544,1141,34543
2010,1,19,177.0,18,25404,456,555,25209
2010,1,21,-289.0,56,42490,407,463,42794
2010,1,23,-225.0,0,13813,469,257,14005
2010,1,25,-982.0,89,26113,249,350,26997
2010,1,27,-298.0,0,13938,222,312,14224
2010,1,29,342.0,0,14581,248,534,14239
2010,1,31,487.0,533,47752,2140,2369,46723
2010,1,33,1212.0,46,53828,556,1271,52681
2010,1,35,-412.0,0,13140,77,85,13553
2010,1,37,-111.0,0,11393,45,221,11503
2010,1,39,-482.0,19,37348,792,842,37767
2010,1,41,-36.0,0,13811,163,256,13890
2010,1,43,386.0,185,79111,1257,1652,78411
2010,1,45,1371.0,918,48977,2589,3460,46812
2010,1,47,187.0,75,43436,596,935,43320
2010,1,49,-853.0,286,69234,1164,1307,69597
2010,1,51,2423.0,213,76804,1591,1601,74184
2010,1,53,237.0,359,37542,1051,932,37104
2010,1,55,1536.0,61,102831,1593,2194,101543
2010,1,57,-4.0,13,17243,278,472,17260
2010,1,59,-580.0,40,31075,668,354,31721
2010,1,61,107.0,45,26216,661,660,26002
2010,1,63,-104.0,9,9151,57,46,9247
2010,1,65,308.0,16,16055,123,335,15776
2010,1,67,-545.0,32,17019,417,155,17576
2010,1,69,-402.0,356,97551,2034,3084,97660
2010,1,71,-711.0,14,52615,1283,984,53360
2010,1,73,-4220.0,1575,648450,12600,13500,651594
2010,1,75,294.0,42,14646,201,392,14325
2010,1,77,1882.0,205,90684,2018,2546,88736
2010,1,79,-831.0,36,33810,393,470,34783
2010,1,81,5114.0,997,133240,5170,6958,127061
2010,1,83,2122.0,239,77797,1416,1732,75395
2010,1,85,-209.0,8,11544,160,92,11692
2010,1,87,467.0,68,21467,791,1507,21016
2010,1,89,3325.0,2076,319222,8701,12384,314828
2010,1,91,-66.0,1,20987,568,138,21052
2010,1,93,-200.0,0,30444,527,407,30646
2010,1,95,792.0,574,89537,939,1833,88190
2010,1,97,-3387.0,1576,403582,11522,9129,405811
2010,1,99,-304.0,45,23100,547,286,23323
2010,1,101,1700.0,1310,225113,6246,7469,222587
2010,1,103,-471.0,164,116109,1719,1706,116387
2010,1,105,299.0,22,10613,110,184,10324
2010,1,107,-68.0,9,19663,326,253,19739
2010,1,109,1208.0,368,31708,602,809,30141
2010,1,111,704.0,35,22542,411,898,21796
2010,1,113,-1651.0,285,51014,3442,3489,52537
2010,1,115,1504.0,132,79795,968,1484,78159
2010,1,117,3577.0,574,185665,4125,4280,181573
2010,1,119,-478.0,28,13739,253,255,14226
2010,1,121,859.0,167,81238,1106,2022,80297
2010,1,123,706.0,28,41021,334,903,40384
2010,1,125,5815.0,970,185920,4028,5293,179282
2010,1,127,354.0,37,66988,645,1025,66653
2010,1,129,357.0,0,17411,225,555,17038
2010,1,131,306.0,11,11965,68,78,11629
2010,1,133,664.0,0,24426,83,315,23721
2010,2,13,764.0,71,3682,14,962,2946
2010,2,16,45.0,41,6224,1020,1421,5822
2010,2,20,-24455.0,3526,279274,35749,16067,295308
2010,2,50,-192.0,58,16405,68,243,16581
2010,2,60,81.0,0,1044,12,40,968
2010,2,68,-338.0,8,1144,181,100,1506
2010,2,70,67.0,9,4716,15,148,4640
2010,2,90,-7403.0,1175,92906,13426,6627,98022
2010,2,100,-548.0,5,1658,320,20,1992
2010,2,105,91.0,9,2014,8,38,1918
2010,2,110,-605.0,387,30502,2546,1626,30796
2010,2,122,-2934.0,151,53273,4805,1941,55789
2010,2,130,-1090.0,9,13232,1568,579,14169
2010,2,150,-926.0,214,13154,1686,863,13635
2010,2,164,-30.0,3,1579,30,49,1580
2010,2,170,-3723.0,276,82841,6283,2627,85492
2010,2,180,105.0,18,9041,280,359,8991
2010,2,185,-252.0,51,8718,312,207,8899
2010,2,188,-84.0,6,7286,114,111,7286
2010,2,195,-208.0,21,3737,147,85,3862
2010,2,198,91.0,6,5439,159,233,5372
