YEAR,state,county,PAYQTR1,EMP,ESTAB,PAYANN
2009,1,1,66731,10628,877,270567
2009,1,3,355902,52233,4812,1492224
2009,1,5,54997,7990,522,208523
2009,1,7,20220,2927,318,84438
2009,1,9,51609,6968,749,202154
2009,1,11,11850,1919,120,48602
2009,1,13,32454,5400,446,132393
2009,1,15,281850,38324,2444,1155476
2009,1,17,43135,6241,568,172580
2009,1,19,21444,3600,350,93283
2009,1,21,43816,7048,744,184462
2009,1,23,33321,2969,276,131390
2009,1,25,47091,6944,623,200526
2009,1,27,20783,3253,204,82050
2009,1,29,14871,2071,180,59480
2009,1,31,76524,12499,1016,322260
2009,1,33,144794,19703,1290,601791
2009,1,35,19502,2612,216,74249
2009,1,37,7183,1050,106,29391
2009,1,39,71104,10810,865,303260
2009,1,41,20245,3212,243,90188
2009,1,43,164511,22761,1737,675308
2009,1,45,129602,13221,844,543180
2009,1,47,82954,11745,788,334678
2009,1,49,117703,17512,1127,507703
2009,1,51,97771,14374,1143,393141
2009,1,53,68148,9769,802,285466
2009,1,55,201696,29773,2079,865122
2009,1,57,28112,3886,328,112044
2009,1,59,58321,8984,564,244825
2009,1,61,26653,4199,437,112848
2009,1,63,9913,1430,104,41029
2009,1,65,14676,2314,201,60500
2009,1,67,20457,2722,312,86839
2009,1,69,354976,43725,2823,1453801
2009,1,71,77280,11137,851,336132
2009,1,73,3530419,325281,16789,13697475
2009,1,75,20331,2875,250,81888
2009,1,77,153398,25727,2018,647859
2009,1,79,41478,4748,426,166474
2009,1,81,245861,37367,2431,1011185
2009,1,83,115659,15993,1274,469690
2009,1,85,26063,2320,127,107538
2009,1,87,46357,6433,216,198113
2009,1,89,1677499,154144,8143,6909074
2009,1,91,46706,5963,495,184880
2009,1,93,50180,7378,531,202392
2009,1,95,209982,29951,1886,839017
2009,1,97,1312639,150599,9016,5458453
2009,1,99,53797,6412,401,219491
2009,1,101,896346,104319,5762,3695457
2009,1,103,355029,43314,2718,1455596
2009,1,105,10092,1519,126,40473
2009,1,107,17120,2931,286,71184
2009,1,109,76057,10775,643,322703
2009,1,111,21144,3610,367,87441
2009,1,113,80550,11030,851,316399
2009,1,115,90047,13181,1230,367586
2009,1,117,821314,76171,4900,3078022
2009,1,119,23802,2986,220,90849
2009,1,121,170359,21858,1317,752326
2009,1,123,74002,11868,782,314664
2009,1,125,619341,70373,4055,2476753
2009,1,127,114643,15960,1357,467023
2009,1,129,41766,3056,233,164040
2009,1,131,16616,2012,212,68021
2009,1,133,43866,6622,461,178189
2009,1,999,204638,29529,173,839937
2009,2,13,0,0,59,0
2009,2,16,36425,4953,121,121192
2009,2,20,1875354,144656,8432,7829097
2009,2,50,31001,3471,202,131652
2009,2,60,2955,302,67,32734
2009,2,68,5940,522,100,46931
2009,2,70,12084,1256,101,59219
2009,2,90,253049,26479,2445,1171165
2009,2,100,4178,590,128,21763
2009,2,110,94409,10800,1107,435742
2009,2,122,119358,13155,1944,558321
2009,2,130,41372,4686,568,208030
2009,2,150,34063,4177,471,159726
2009,2,164,1163,138,48,13123
2009,2,170,134873,14869,1939,588208
2009,2,180,15690,2160,155,73542
2009,2,185,52996,2790,140,182269
2009,2,188,23260,1707,70,101053
2009,2,201,4184,702,139,22111
2009,2,220,26474,3424,391,124245
2009,2,232,2999,447,186,28379
2009,2,240,5230,783,188,26984
2009,2,261,35996,2729,398,154363
2009,2,270,2588,556,55,11185
2009,2,280,11190,1519,259,55929
2009,2,282,923,118,31,5790
2009,2,290,3014,377,113,17704
2009,2,999,0,0,44,0
2009,4,1,57729,7526,482,237207
2009,4,3,223826,28407,2373,918989
2009,4,5,329594,44916,3634,1452116
2009,4,7,96554,11724,1086,372478
2009,4,9,90231,10078,531,320142
2009,4,11,3773,545,79,15333
2009,4,12,22387,3438,357,89993
2009,4,13,15453410,1451978,85789,60818540
2009,4,15,286242,42107,3869,1169938
2009,4,17,147411,18493,1844,607004
2009,4,19,2736609,309243,20547,11040739
2009,4,21,321119,45025,3225,1302878
2009,4,23,68103,10773,1153,278042
2009,4,25,374065,53702,5875,1544422
2009,4,27,296665,42617,3029,1149931
2009,4,999,390312,41693,199,1623341
2009,5,1,64836,8293,544,261495
2009,5,3,65351,6810,455,260958
2009,5,5,71586,11156,1121,312918
2009,5,7,1412301,92837,5325,4392886
2009,5,9,86368,12094,870,357758
2009,5,11,15225,2670,267,64522
2009,5,13,3843,553,77,15993
2009,5,15,45510,8061,733,200228
2009,5,17,13109,2360,232,58258
2009,5,19,48756,7592,525,200273
2009,5,21,18994,3146,298,80770
2009,5,23,32920,5955,633,145065
2009,5,25,2440,430,88,10233
2009,5,27,55507,7448,582,225393
2009,5,29,34995,5345,416,156854
2009,5,31,260161,36484,2417,1079215
2009,5,33,135825,20842,1071,570619
2009,5,35,95297,13652,880,399049
2009,5,37,25095,4209,387,109462
2009,5,39,19501,2980,213,79380
2009,5,41,26757,3565,338,110856
2009,5,43,26322,4482,409,111536
2009,5,45,249456,32292,2309,1063326
2009,5,47,23224,3202,279,91546
2009,5,49,7909,1405,179,32329
2009,5,51,204218,31558,2738,847632
2009,5,53,18254,2959,273,82104
2009,5,55,75191,12565,789,317211
2009,5,57,47116,6848,407,204305
2009,5,59,38786,5810,523,161813
2009,5,61,34872,6121,284,140839
2009,5,63,101711,14594,779,435124
2009,5,65,10408,1941,215,43864
2009,5,67,26833,3602,335,110609
2009,5,69,194864,24421,1479,795677
2009,5,71,43386,7454,380,178617
2009,5,73,4654,815,112,21265
2009,5,75,15540,2729,307,67395
2009,5,77,5928,904,136,25772
2009,5,79,11092,1542,157,42850
2009,5,81,37366,2977,172,137282
2009,5,83,22350,3925,405,101101
2009,5,85,60563,10364,1013,262697
2009,5,87,11328,1829,193,45150
2009,5,89,15203,2760,229,64991
2009,5,91,77593,10668,710,342769
2009,5,93,127570,14751,875,482429
2009,5,95,8783,1677,195,36714
2009,5,97,5356,973,150,23973
2009,5,99,11119,1842,134,45722
2009,5,101,2522,592,87,11089
2009,5,103,61853,8082,553,268793
2009,5,105,5418,866,110,24693
2009,5,107,26892,4494,453,114046
2009,5,109,10006,1848,188,40970
2009,5,111,21017,3473,363,89398
2009,5,113,28789,5271,505,122273
2009,5,115,174102,22228,1509,712496
2009,5,117,5598,1044,167,23241
2009,5,119,2335785,209751,12162,8505764
2009,5,121,18655,3445,324,79959
2009,5,123,35723,5665,486,151493
2009,5,125,116605,18212,1801,494882
2009,5,127,12027,2103,159,52410
2009,5,129,4326,957,120,19683
2009,5,131,535149,64151,3524,2181115
2009,5,133,29400,5173,267,123380
2009,5,135,13550,2620,328,55663
2009,5,137,11305,2215,242,49239
2009,5,139,179569,18819,1175,705002
2009,5,141,21930,3493,353,92632
2009,5,143,623775,79069,4845,2667704
2009,5,145,157278,22485,1521,656345
2009,5,147,7356,1240,137,34097
2009,5,149,26447,4401,322,111599
2009,5,999,62010,5559,112,268361
2009,6,1,7809221,581130,36360,31215188
2009,6,3,5060,756,43,12393
2009,6,5,62592,8378,811,264463
2009,6,7,411293,55308,4794,1727146
2009,6,9,39684,5819,936,171550
2009,6,11,31699,4133,370,130946
2009,6,13,4229688,304803,22138,16872367
2009,6,15,28363,4401,464,117953
2009,6,17,395707,42602,4382,1586988
2009,6,19,1990966,233208,15971,8276776
2009,6,21,41571,4540,482,173285
2009,6,23,230087,33603,3406,981555
2009,6,25,210478,30887,2441,854836
2009,6,27,36708,5193,548,156791
2009,6,29,1688255,179606,12111,6848411
2009,6,31,175825,23220,1638,760200
2009,6,33,66298,9280,1092,277529
2009,6,35,23814,3610,451,101656
2009,6,37,43537790,3703233,245523,178048102
2009,6,39,209073,24031,1955,861580
2009,6,41,1222339,94673,9725,4961334
2009,6,43,17560,3064,365,85197
2009,6,45,158734,22130,2593,680625
2009,6,47,309801,40447,2921,1321457
2009,6,49,9385,1310,162,40915
2009,6,51,43329,5862,573,157673
2009,6,53,971378,100735,8500,3973032
2009,6,55,598715,55167,3996,2443866
2009,6,57,219599,26747,3097,918271
2009,6,59,15751277,1336341,87483,62901844
2009,6,61,1310522,123022,9482,5228257
2009,6,63,30676,3812,682,134107
2009,6,65,3994775,480413,34055,15955787
2009,6,67,4372953,417036,27635,17672153
2009,6,69,84360,10894,903,368653
2009,6,71,4481778,519247,31866,18062608
2009,6,73,12582582,1119643,76345,50265230
2009,6,75,9597422,492689,30490,35300499
2009,6,77,1433215,165952,11044,5972383
2009,6,79,712135,82573,7950,2847840
2009,6,81,6139624,336120,19772,23738933
2009,6,83,1399468,136826,11203,5735471
2009,6,85,16075741,850828,44164,64936275
2009,6,87,703227,71708,6885,2850848
2009,6,89,372349,47789,4428,1581874
2009,6,91,2066,322,74,9667
2009,6,93,57079,8517,1187,245924
2009,6,95,988384,100025,6839,4076313
2009,6,97,1557704,149366,13383,6315095
2009,6,99,1139405,127658,8578,4813646
2009,6,101,158391,20087,1789,670898
2009,6,103,88647,11841,1058,377213
2009,6,105,8863,1551,281,42243
2009,6,107,681845,87794,6276,2823455
2009,6,109,100087,13206,1436,416857
2009,6,111,2790416,245788,19677,10889164
2009,6,113,594459,61609,3828,2445298
2009,6,115,70449,9419,818,293785
2009,6,999,2663835,193757,372,10740497
2009,8,1,1320632,134044,8214,5334357
2009,8,3,37494,5315,509,156878
2009,8,5,3164927,239689,16994,12074852
2009,8,7,17331,2913,508,66566
2009,8,9,3571,563,91,13534
2009,8,11,3379,581,63,15435
2009,8,13,1671850,134041,11352,6483785
2009,8,14,460066,29760,1677,1749576
2009,8,15,31218,5039,881,135704
2009,8,17,7942,631,61,29287
2009,8,19,20999,2681,346,78349
2009,8,21,3378,544,96,14489
2009,8,23,902,187,44,4235
2009,8,25,3827,587,39,14281
2009,8,27,3164,562,146,14899
2009,8,29,46219,6554,891,188386
