2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DP02_0036E,DP02_0036E,DP02_0036E,DP02_0036E,DP02_0036E,DP02_0036E,DP02_0036E,DP02_0036E,DP02_0036E,DP02_0036E,DP02_0037E
DP02_0052E,DP02_0052E,DP02_0052E,DP02_0052E,DP02_0052E,DP02_0052E,DP02_0052E,DP02_0052E,DP02_0052E,DP02_0052E,DP02_0053E
DP02_0053PE,DP02_0053PE,DP02_0053PE,DP02_0053PE,DP02_0053PE,DP02_0053PE,DP02_0053PE,DP02_0053PE,DP02_0053PE,DP02_0053PE,DP02_0054PE
DP02_0054PE,DP02_0054PE,DP02_0054PE,DP02_0054PE,DP02_0054PE,DP02_0054PE,DP02_0054PE,DP02_0054PE,DP02_0054PE,DP02_0054PE,DP02_0055PE
DP02_0055PE,DP02_0055PE,DP02_0055PE,DP02_0055PE,DP02_0055PE,DP02_0055PE,DP02_0055PE,DP02_0055PE,DP02_0055PE,DP02_0055PE,DP02_0056PE
DP02_0056PE,DP02_0056PE,DP02_0056PE,DP02_0056PE,DP02_0056PE,DP02_0056PE,DP02_0056PE,DP02_0056PE,DP02_0056PE,DP02_0056PE,DP02_0057PE
DP02_0057PE,DP02_0057PE,DP02_0057PE,DP02_0057PE,DP02_0057PE,DP02_0057PE,DP02_0057PE,DP02_0057PE,DP02_0057PE,DP02_0057PE,DP02_0058PE
DP02_0058E,DP02_0058E,DP02_0058E,DP02_0058E,DP02_0058E,DP02_0058E,DP02_0058E,DP02_0058E,DP02_0058E,DP02_0058E,DP02_0059E
DP02_0059PE,DP02_0059PE,DP02_0059PE,DP02_0059PE,DP02_0059PE,DP02_0059PE,DP02_0059PE,DP02_0059PE,DP02_0059PE,DP02_0059PE,DP02_0060PE
DP02_0060PE,DP02_0060PE,DP02_0060PE,DP02_0060PE,DP02_0060PE,DP02_0060PE,DP02_0060PE,DP02_0060PE,DP02_0060PE,DP02_0060PE,DP02_0061PE
DP02_0061PE,DP02_0061PE,DP02_0061PE,DP02_0061PE,DP02_0061PE,DP02_0061PE,DP02_0061PE,DP02_0061PE,DP02_0061PE,DP02_0061PE,DP02_0062PE
DP02_0062PE,DP02_0062PE,DP02_0062PE,DP02_0062PE,DP02_0062PE,DP02_0062PE,DP02_0062PE,DP02_0062PE,DP02_0062PE,DP02_0062PE,DP02_0063PE
DP02_0063PE,DP02_0063PE,DP02_0063PE,DP02_0063PE,DP02_0063PE,DP02_0063PE,DP02_0063PE,DP02_0063PE,DP02_0063PE,DP02_0063PE,DP02_0064PE
DP02_0064PE,DP02_0064PE,DP02_0064PE,DP02_0064PE,DP02_0064PE,DP02_0064PE,DP02_0064PE,DP02_0064PE,DP02_0064PE,DP02_0064PE,DP02_0065PE
DP02_0065PE,DP02_0065PE,DP02_0065PE,DP02_0065PE,DP02_0065PE,DP02_0065PE,DP02_0065PE,DP02_0065PE,DP02_0065PE,DP02_0065PE,DP02_0066PE
DP02_0066PE,DP02_0066PE,DP02_0066PE,DP02_0066PE,DP02_0066PE,DP02_0066PE,DP02_0066PE,DP02_0066PE,DP02_0066PE,DP02_0066PE,DP02_0067PE
DP02_0067PE,DP02_0067PE,DP02_0067PE,DP02_0067PE,DP02_0067PE,DP02_0067PE,DP02_0067PE,DP02_0067PE,DP02_0067PE,DP02_0067PE,DP02_0068PE
DP02_0080E,DP02_0080E,DP02_0080E,DP02_0080E,DP02_0080E,DP02_0080E,DP02_0080E,DP02_0080E,DP02_0080E,DP02_0080E,DP02_0081E
DP02_0081PE,DP02_0081PE,DP02_0081PE,DP02_0081PE,DP02_0081PE,DP02_0081PE,DP02_0081PE,DP02_0081PE,DP02_0081PE,DP02_0081PE,DP02_0082PE
DP02_0082PE,DP02_0082PE,DP02_0082PE,DP02_0082PE,DP02_0082PE,DP02_0082PE,DP02_0082PE,DP02_0082PE,DP02_0082PE,DP02_0082PE,DP02_0083PE
